Mapping parameters for Caretta caretta (loggerhead turtle)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."


Map data (HSPEC) for predicted occurrences (n = 13089): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Caretta,caretta,42.25,143.25,1414:123:1,0.14
Caretta,caretta,42.25,143.75,1414:123:2,0.11
Caretta,caretta,42.75,143.25,1414:123:3,0.13
Caretta,caretta,42.75,143.75,1414:123:4,0.08
Caretta,caretta,42.75,144.25,1414:124:3,0.08
Caretta,caretta,42.75,144.75,1414:124:4,0.07
Caretta,caretta,43.25,144.75,1414:134:2,0.03
Caretta,caretta,44.25,140.25,1414:140:1,0.03
Caretta,caretta,44.25,143.25,1414:143:1,0.02
Caretta,caretta,42.75,145.25,1414:225:3,0.06
Caretta,caretta,42.75,145.75,1414:225:4,0.05
Caretta,caretta,43.75,145.25,1414:235:3,0.01
Caretta,caretta,45.25,140.25,1414:350:1,0.10
Caretta,caretta,45.75,141.75,1414:351:4,0.15
Caretta,caretta,45.25,142.25,1414:352:1,0.06
Caretta,caretta,45.75,142.25,1414:352:3,0.02
Caretta,caretta,46.25,141.25,1414:361:1,0.18
Caretta,caretta,46.25,141.75,1414:361:2,0.08
Caretta,caretta,46.75,141.75,1414:361:4,0.08
Caretta,caretta,47.25,141.75,1414:371:2,0.04
Caretta,caretta,51.25,0.25,1500:110:1,0.02
Caretta,caretta,51.75,4.75,1500:114:4,0.12
Caretta,caretta,52.25,5.75,1500:225:2,0.08
Caretta,caretta,52.75,6.25,1500:226:3,0.02
Caretta,caretta,53.25,8.75,1500:238:2,0.01
Caretta,caretta,53.75,9.25,1500:239:3,0.19
Caretta,caretta,53.75,9.75,1500:239:4,0.01
Caretta,caretta,54.25,9.25,1500:249:1,0.11
Caretta,caretta,54.25,9.75,1500:249:2,0.01
Caretta,caretta,54.75,9.25,1500:249:3,0.02
Caretta,caretta,54.75,9.75,1500:249:4,0.07
Caretta,caretta,56.75,0.75,1500:360:4,0.19
Caretta,caretta,56.75,1.25,1500:361:3,0.19
Caretta,caretta,56.75,1.75,1500:361:4,0.19
Caretta,caretta,57.25,0.25,1500:370:1,0.19
Caretta,caretta,57.25,0.75,1500:370:2,0.18
Caretta,caretta,57.75,0.25,1500:370:3,0.17
Caretta,caretta,57.75,0.75,1500:370:4,0.18
Caretta,caretta,57.25,1.25,1500:371:1,0.19
Caretta,caretta,57.25,1.75,1500:371:2,0.18
Caretta,caretta,57.75,1.25,1500:371:3,0.18
Caretta,caretta,57.75,1.75,1500:371:4,0.18
Caretta,caretta,57.25,2.25,1500:372:1,0.19
Caretta,caretta,57.75,2.25,1500:372:3,0.19
Caretta,caretta,58.25,0.25,1500:380:1,0.11
Caretta,caretta,58.25,0.75,1500:380:2,0.09
Caretta,caretta,58.75,0.25,1500:380:3,0.09
Caretta,caretta,58.75,0.75,1500:380:4,0.11
Caretta,caretta,58.25,1.25,1500:381:1,0.14
Caretta,caretta,58.25,1.75,1500:381:2,0.17
Caretta,caretta,58.75,1.25,1500:381:3,0.14
Caretta,caretta,58.75,1.75,1500:381:4,0.15
Caretta,caretta,58.75,2.25,1500:382:3,0.16
Caretta,caretta,58.75,2.75,1500:382:4,0.16
Caretta,caretta,58.25,3.25,1500:383:1,0.18
Caretta,caretta,58.25,3.75,1500:383:2,0.16
Caretta,caretta,58.75,3.25,1500:383:3,0.15
Caretta,caretta,58.75,3.75,1500:383:4,0.13
Caretta,caretta,58.25,4.25,1500:384:1,0.16
Caretta,caretta,58.25,4.75,1500:384:2,0.15
Caretta,caretta,59.25,0.25,1500:390:1,0.11
Caretta,caretta,59.25,0.75,1500:390:2,0.11
Caretta,caretta,59.75,0.25,1500:390:3,0.11
Caretta,caretta,59.75,0.75,1500:390:4,0.11
Caretta,caretta,59.25,1.25,1500:391:1,0.13
Caretta,caretta,59.25,1.75,1500:391:2,0.12
Caretta,caretta,59.75,1.25,1500:391:3,0.13
Caretta,caretta,59.75,1.75,1500:391:4,0.13
Caretta,caretta,59.25,2.25,1500:392:1,0.13
Caretta,caretta,59.25,2.75,1500:392:2,0.13
Caretta,caretta,59.75,2.25,1500:392:3,0.14
Caretta,caretta,59.75,2.75,1500:392:4,0.14
Caretta,caretta,59.25,3.25,1500:393:1,0.12
Caretta,caretta,59.25,3.75,1500:393:2,0.01
Caretta,caretta,59.75,3.25,1500:393:3,0.14
Caretta,caretta,59.75,4.75,1500:394:4,0.18
Caretta,caretta,55.25,9.75,1500:459:2,0.08
Caretta,caretta,55.75,9.75,1500:459:4,0.12
Caretta,caretta,57.75,5.75,1500:475:4,0.19
Caretta,caretta,57.75,6.25,1500:476:3,0.18
Caretta,caretta,57.75,6.75,1500:476:4,0.13
Caretta,caretta,57.75,7.25,1500:477:3,0.19
Caretta,caretta,57.75,8.25,1500:478:3,0.17
Caretta,caretta,58.25,5.25,1500:485:1,0.11
Caretta,caretta,58.75,5.75,1500:485:4,0.19
Caretta,caretta,58.75,6.25,1500:486:3,0.01
Caretta,caretta,58.25,7.25,1500:487:1,0.13
Caretta,caretta,58.75,8.75,1500:488:4,0.19
Caretta,caretta,58.25,9.25,1500:489:1,0.17
Caretta,caretta,58.25,9.75,1500:489:2,0.10
Caretta,caretta,59.25,5.25,1500:495:1,0.18
Caretta,caretta,59.25,5.75,1500:495:2,0.16
Caretta,caretta,59.75,5.25,1500:495:3,0.17
Caretta,caretta,59.75,5.75,1500:495:4,0.16
Caretta,caretta,59.25,6.25,1500:496:1,0.16
Caretta,caretta,59.25,6.75,1500:496:2,0.01
Caretta,caretta,59.75,6.25,1500:496:3,0.01
Caretta,caretta,59.75,6.75,1500:496:4,0.01
Caretta,caretta,59.25,9.75,1500:499:2,0.02
Caretta,caretta,53.75,10.75,1501:130:4,0.01
Caretta,caretta,53.75,11.25,1501:131:3,0.02
Caretta,caretta,53.75,13.75,1501:133:4,0.04
Caretta,caretta,53.75,14.25,1501:134:3,0.03
Caretta,caretta,53.75,14.75,1501:134:4,0.04
Caretta,caretta,54.25,10.25,1501:140:1,0.08
Caretta,caretta,54.25,10.75,1501:140:2,0.07
Caretta,caretta,54.75,10.25,1501:140:3,0.08
Caretta,caretta,54.75,10.75,1501:140:4,0.07
Caretta,caretta,54.25,11.25,1501:141:1,0.06
Caretta,caretta,54.25,11.75,1501:141:2,0.05
Caretta,caretta,54.75,11.25,1501:141:3,0.06
Caretta,caretta,54.75,11.75,1501:141:4,0.05
Caretta,caretta,54.25,12.25,1501:142:1,0.05
Caretta,caretta,54.25,12.75,1501:142:2,0.04
Caretta,caretta,54.75,12.25,1501:142:3,0.04
Caretta,caretta,54.75,12.75,1501:142:4,0.03
Caretta,caretta,54.25,13.25,1501:143:1,0.04
Caretta,caretta,54.25,13.75,1501:143:2,0.04
Caretta,caretta,54.75,13.25,1501:143:3,0.03
Caretta,caretta,54.75,13.75,1501:143:4,0.03
Caretta,caretta,54.25,14.25,1501:144:1,0.04
Caretta,caretta,54.25,14.75,1501:144:2,0.03
Caretta,caretta,54.75,14.25,1501:144:3,0.03
Caretta,caretta,54.75,14.75,1501:144:4,0.03
Caretta,caretta,54.25,15.25,1501:245:1,0.03
Caretta,caretta,54.25,15.75,1501:245:2,0.03
Caretta,caretta,54.75,15.25,1501:245:3,0.03
Caretta,caretta,54.75,15.75,1501:245:4,0.03
Caretta,caretta,54.25,16.25,1501:246:1,0.04
Caretta,caretta,54.75,16.25,1501:246:3,0.03
Caretta,caretta,54.75,16.75,1501:246:4,0.03
Caretta,caretta,54.75,17.25,1501:247:3,0.03
Caretta,caretta,54.75,17.75,1501:247:4,0.03
Caretta,caretta,54.25,18.75,1501:248:2,0.03
Caretta,caretta,54.75,18.25,1501:248:3,0.03
Caretta,caretta,54.75,18.75,1501:248:4,0.03
Caretta,caretta,54.25,19.25,1501:249:1,0.03
Caretta,caretta,54.25,19.75,1501:249:2,0.03
Caretta,caretta,54.75,19.25,1501:249:3,0.03
Caretta,caretta,54.75,19.75,1501:249:4,0.03
Caretta,caretta,55.25,10.25,1501:350:1,0.09
Caretta,caretta,55.25,10.75,1501:350:2,0.08
Caretta,caretta,55.75,10.25,1501:350:3,0.10
Caretta,caretta,55.75,10.75,1501:350:4,0.10
Caretta,caretta,55.25,11.25,1501:351:1,0.08
Caretta,caretta,55.25,11.75,1501:351:2,0.08
Caretta,caretta,55.75,11.25,1501:351:3,0.10
Caretta,caretta,55.75,11.75,1501:351:4,0.12
Caretta,caretta,55.25,12.25,1501:352:1,0.06
Caretta,caretta,55.25,12.75,1501:352:2,0.03
Caretta,caretta,55.75,12.25,1501:352:3,0.09
Caretta,caretta,55.75,12.75,1501:352:4,0.05
Caretta,caretta,55.25,13.25,1501:353:1,0.03
Caretta,caretta,55.25,13.75,1501:353:2,0.03
Caretta,caretta,55.75,13.25,1501:353:3,0.06
Caretta,caretta,55.25,14.25,1501:354:1,0.03
Caretta,caretta,55.25,14.75,1501:354:2,0.03
Caretta,caretta,55.75,14.25,1501:354:3,0.02
Caretta,caretta,55.75,14.75,1501:354:4,0.02
Caretta,caretta,56.25,10.25,1501:360:1,0.12
Caretta,caretta,56.25,10.75,1501:360:2,0.13
Caretta,caretta,56.75,10.25,1501:360:3,0.16
Caretta,caretta,56.75,10.75,1501:360:4,0.15
Caretta,caretta,56.25,11.25,1501:361:1,0.14
Caretta,caretta,56.25,11.75,1501:361:2,0.15
Caretta,caretta,56.75,11.25,1501:361:3,0.15
Caretta,caretta,56.75,11.75,1501:361:4,0.16
Caretta,caretta,56.25,12.25,1501:362:1,0.14
Caretta,caretta,56.25,12.75,1501:362:2,0.13
Caretta,caretta,56.75,12.25,1501:362:3,0.15
Caretta,caretta,56.75,12.75,1501:362:4,0.12
Caretta,caretta,56.25,14.75,1501:364:2,0.03
Caretta,caretta,57.25,10.75,1501:370:2,0.19
Caretta,caretta,57.25,11.25,1501:371:1,0.18
Caretta,caretta,57.25,11.75,1501:371:2,0.16
Caretta,caretta,57.75,11.25,1501:371:3,0.19
Caretta,caretta,57.75,11.75,1501:371:4,0.17
Caretta,caretta,57.25,12.25,1501:372:1,0.15
Caretta,caretta,58.25,10.25,1501:380:1,0.13
Caretta,caretta,58.25,11.25,1501:381:1,0.18
Caretta,caretta,58.25,11.75,1501:381:2,0.05
